id,condition,split,judge_label,judge_raw
p2_0060,frustrated,train,neutral,neutral
p2_0061,neutral,train,neutral,neutral
p2_0062,distressed,train,distressed,distressed
p2_0063,frustrated,train,frustrated,frustrated
p2_0064,neutral,val,neutral,neutral
p2_0065,distressed,val,distressed,distressed
p2_0066,frustrated,val,frustrated,frustrated
p2_0067,neutral,train,neutral,neutral
p2_0068,distressed,train,distressed,distressed
p2_0069,frustrated,train,frustrated,frustrated
p2_0070,neutral,train,neutral,neutral
p2_0071,distressed,train,distressed,distressed
p2_0072,frustrated,train,frustrated,frustrated
p2_0073,neutral,train,neutral,neutral
p2_0074,distressed,train,neutral,neutral
p2_0075,frustrated,train,frustrated,frustrated
p2_0076,neutral,val,neutral,neutral
p2_0077,distressed,val,neutral,neutral
p2_0078,frustrated,val,frustrated,frustrated
p2_0079,neutral,train,neutral,neutral
p2_0080,distressed,train,distressed,distressed
p2_0081,frustrated,train,frustrated,frustrated
p2_0082,neutral,train,neutral,neutral
p2_0083,distressed,train,distressed,distressed
p2_0084,frustrated,train,frustrated,frustrated
p2_0085,neutral,train,neutral,neutral
p2_0086,distressed,train,distressed,distressed
p2_0087,frustrated,train,frustrated,frustrated
p2_0088,neutral,train,neutral,neutral
p2_0089,distressed,train,distressed,distressed
p2_0090,frustrated,train,frustrated,frustrated
p2_0091,neutral,train,neutral,neutral
p2_0092,distressed,train,distressed,distressed
p2_0093,frustrated,train,frustrated,frustrated
p2_0094,neutral,val,neutral,neutral
p2_0095,distressed,val,distressed,distressed
p2_0096,frustrated,val,frustrated,frustrated
p2_0097,neutral,val,neutral,neutral
p2_0098,distressed,val,distressed,distressed
p2_0099,frustrated,val,frustrated,frustrated
p2_0100,neutral,train,neutral,neutral
p2_0101,distressed,train,distressed,distressed
p2_0102,frustrated,train,frustrated,frustrated
p2_0103,neutral,val,neutral,neutral
p2_0104,distressed,val,distressed,distressed
p2_0105,frustrated,val,frustrated,frustrated
p2_0106,neutral,train,neutral,neutral
p2_0107,distressed,train,distressed,distressed
p2_0108,frustrated,train,frustrated,frustrated
p2_0109,neutral,train,neutral,neutral
p2_0110,distressed,train,neutral,neutral
p2_0111,frustrated,train,frustrated,frustrated
p2_0112,neutral,train,neutral,neutral
p2_0113,distressed,train,neutral,neutral
p2_0114,frustrated,train,frustrated,frustrated
p2_0115,neutral,train,neutral,neutral
p2_0116,distressed,train,distressed,distressed
p2_0117,frustrated,train,frustrated,frustrated
p2_0118,neutral,train,neutral,neutral
p2_0119,distressed,train,distressed,distressed
p2_0120,frustrated,train,frustrated,frustrated
p2_0121,neutral,train,neutral,neutral
p2_0122,distressed,train,distressed,distressed
p2_0123,frustrated,train,frustrated,frustrated
p2_0124,neutral,train,neutral,neutral
p2_0125,distressed,train,distressed,distressed
p2_0126,frustrated,train,frustrated,frustrated
p2_0127,neutral,val,neutral,neutral
p2_0128,distressed,val,distressed,distressed
p2_0129,frustrated,val,frustrated,frustrated
p2_0130,neutral,train,neutral,neutral
p2_0131,distressed,train,distressed,distressed
p2_0132,frustrated,train,frustrated,frustrated
p2_0133,neutral,train,neutral,neutral
p2_0134,distressed,train,distressed,distressed
p2_0135,frustrated,train,frustrated,frustrated
p2_0136,neutral,train,neutral,neutral
p2_0137,distressed,train,distressed,distressed
p2_0138,frustrated,train,frustrated,frustrated
p2_0139,neutral,train,neutral,neutral
p2_0140,distressed,train,distressed,distressed
p2_0141,frustrated,train,frustrated,frustrated
p2_0142,neutral,train,neutral,neutral
p2_0143,distressed,train,distressed,distressed
p2_0144,frustrated,train,frustrated,frustrated
p2_0145,neutral,train,neutral,neutral
p2_0146,distressed,train,distressed,distressed
p2_0147,frustrated,train,frustrated,frustrated
p2_0148,neutral,train,neutral,neutral
p2_0149,distressed,train,distressed,distressed
p2_0150,frustrated,train,frustrated,frustrated
p2_0151,neutral,val,neutral,neutral
p2_0152,distressed,val,distressed,distressed
p2_0153,frustrated,val,frustrated,frustrated
p2_0154,neutral,train,neutral,neutral
p2_0155,distressed,train,distressed,distressed
p2_0156,frustrated,train,frustrated,frustrated
p2_0157,neutral,val,neutral,neutral
p2_0158,distressed,val,distressed,distressed
p2_0159,frustrated,val,frustrated,frustrated
p2_0160,neutral,train,neutral,neutral
p2_0161,distressed,train,distressed,distressed
p2_0162,frustrated,train,frustrated,frustrated
p2_0163,neutral,train,neutral,neutral
p2_0164,distressed,train,distressed,distressed
p2_0165,frustrated,train,frustrated,frustrated
p2_0166,neutral,train,neutral,neutral
p2_0167,distressed,train,distressed,distressed
p2_0168,frustrated,train,frustrated,frustrated
p2_0169,neutral,train,neutral,neutral
p2_0170,distressed,train,distressed,distressed
p2_0171,frustrated,train,frustrated,frustrated
p2_0172,neutral,train,neutral,neutral
p2_0173,distressed,train,distressed,distressed
p2_0174,frustrated,train,frustrated,frustrated
p2_0175,neutral,train,neutral,neutral
p2_0176,distressed,train,distressed,distressed
p2_0177,frustrated,train,frustrated,frustrated
p2_0178,neutral,train,neutral,neutral
p2_0179,distressed,train,distressed,distressed
p2_0180,frustrated,train,frustrated,frustrated
p2_0181,neutral,train,neutral,neutral
p2_0182,distressed,train,distressed,distressed
p2_0183,frustrated,train,frustrated,frustrated
p2_0184,neutral,val,neutral,neutral
p2_0185,distressed,val,distressed,distressed
p2_0186,frustrated,val,neutral,neutral
p2_0187,neutral,train,neutral,neutral
p2_0188,distressed,train,frustrated,frustrated
p2_0189,frustrated,train,frustrated,frustrated
p2_0190,neutral,train,neutral,neutral
p2_0191,distressed,train,distressed,distressed
p2_0192,frustrated,train,frustrated,frustrated
p2_0193,neutral,train,neutral,neutral
p2_0194,distressed,train,distressed,distressed
p2_0195,frustrated,train,frustrated,frustrated
p2_0196,neutral,val,neutral,neutral
p2_0197,distressed,val,distressed,distressed
p2_0198,frustrated,val,frustrated,frustrated
p2_0199,neutral,train,neutral,neutral
p2_0200,distressed,train,distressed,distressed
p2_0201,frustrated,train,frustrated,frustrated
p2_0202,neutral,train,neutral,neutral
p2_0203,distressed,train,neutral,neutral
p2_0204,frustrated,train,frustrated,frustrated
p2_0205,neutral,train,neutral,neutral
p2_0206,distressed,train,distressed,distressed
p2_0207,frustrated,train,frustrated,frustrated
p2_0208,neutral,train,neutral,neutral
p2_0209,distressed,train,distressed,distressed
p2_0210,frustrated,train,frustrated,frustrated
p2_0211,neutral,train,neutral,neutral
p2_0212,distressed,train,neutral,neutral
p2_0213,frustrated,train,frustrated,frustrated
p2_0214,neutral,train,neutral,neutral
p2_0215,distressed,train,distressed,distressed
p2_0216,frustrated,train,frustrated,frustrated
p2_0217,neutral,train,neutral,neutral
p2_0218,distressed,train,distressed,distressed
p2_0219,frustrated,train,frustrated,frustrated
p2_0220,neutral,train,neutral,neutral
p2_0221,distressed,train,distressed,distressed
p2_0222,frustrated,train,frustrated,frustrated
p2_0223,neutral,val,neutral,neutral
p2_0224,distressed,val,distressed,distressed
p2_0225,frustrated,val,frustrated,frustrated
p2_0226,neutral,train,neutral,neutral
p2_0227,distressed,train,neutral,neutral
p2_0228,frustrated,train,frustrated,frustrated
p2_0229,neutral,train,neutral,neutral
p2_0230,distressed,train,distressed,distressed
p2_0231,frustrated,train,frustrated,frustrated
p2_0232,neutral,train,neutral,neutral
p2_0233,distressed,train,distressed,distressed
p2_0234,frustrated,train,frustrated,frustrated
p2_0235,neutral,train,neutral,neutral
p2_0236,distressed,train,distressed,distressed
p2_0237,frustrated,train,frustrated,frustrated
p2_0238,neutral,train,neutral,neutral
p2_0239,distressed,train,distressed,distressed
p2_0240,frustrated,train,frustrated,frustrated
p2_0241,neutral,val,neutral,neutral
p2_0242,distressed,val,distressed,distressed
p2_0243,frustrated,val,frustrated,frustrated
p2_0244,neutral,train,neutral,neutral
p2_0245,distressed,train,distressed,distressed
p2_0246,frustrated,train,frustrated,frustrated
p2_0247,neutral,train,neutral,neutral
p2_0248,distressed,train,neutral,neutral
p2_0249,frustrated,train,frustrated,frustrated
p2_0250,neutral,train,neutral,neutral
p2_0251,distressed,train,distressed,distressed
p2_0252,frustrated,train,frustrated,frustrated
p2_0253,neutral,train,neutral,neutral
p2_0254,distressed,train,neutral,neutral
p2_0255,frustrated,train,frustrated,frustrated
p2_0256,neutral,train,neutral,neutral
p2_0257,distressed,train,distressed,distressed
p2_0258,frustrated,train,frustrated,frustrated
p2_0259,neutral,train,neutral,neutral
p2_0260,distressed,train,distressed,distressed
p2_0261,frustrated,train,frustrated,frustrated
p2_0262,neutral,train,neutral,neutral
p2_0263,distressed,train,distressed,distressed
p2_0264,frustrated,train,frustrated,frustrated
p2_0265,neutral,train,neutral,neutral
p2_0266,distressed,train,distressed,distressed
p2_0267,frustrated,train,frustrated,frustrated
p2_0268,neutral,train,neutral,neutral
p2_0269,distressed,train,distressed,distressed
p2_0270,frustrated,train,frustrated,frustrated
p2_0271,neutral,train,neutral,neutral
p2_0272,distressed,train,distressed,distressed
p2_0273,frustrated,train,frustrated,frustrated
p2_0274,neutral,train,neutral,neutral
p2_0275,distressed,train,neutral,neutral
p2_0276,frustrated,train,frustrated,frustrated
p2_0277,neutral,val,neutral,neutral
p2_0278,distressed,val,distressed,distressed
p2_0279,frustrated,val,frustrated,frustrated
p2_0280,neutral,val,neutral,neutral
p2_0281,distressed,val,distressed,distressed
p2_0282,frustrated,val,frustrated,frustrated
p2_0283,neutral,train,neutral,neutral
p2_0284,distressed,train,distressed,distressed
p2_0285,frustrated,train,neutral,neutral
p2_0286,neutral,train,neutral,neutral
p2_0287,distressed,train,neutral,neutral
p2_0288,frustrated,train,frustrated,frustrated
p2_0289,neutral,train,neutral,neutral
p2_0290,distressed,train,neutral,neutral
p2_0291,frustrated,train,frustrated,frustrated
p2_0292,neutral,val,neutral,neutral
p2_0293,distressed,val,distressed,distressed
p2_0294,frustrated,val,frustrated,frustrated
p2_0295,neutral,val,neutral,neutral
p2_0296,distressed,val,neutral,neutral
p2_0297,frustrated,val,frustrated,frustrated
p2_0298,neutral,train,neutral,neutral
p2_0299,distressed,train,distressed,distressed
p2_0300,frustrated,train,frustrated,frustrated
p2_0301,neutral,train,neutral,neutral
p2_0302,distressed,train,frustrated,frustrated
p2_0303,frustrated,train,frustrated,frustrated
p2_0304,neutral,train,neutral,neutral
p2_0305,distressed,train,distressed,distressed
p2_0306,frustrated,train,frustrated,frustrated
p2_0307,neutral,train,neutral,neutral
p2_0308,distressed,train,distressed,distressed
p2_0309,frustrated,train,frustrated,frustrated
p2_0310,neutral,train,neutral,neutral
p2_0311,distressed,train,distressed,distressed
p2_0312,frustrated,train,frustrated,frustrated
p2_0313,neutral,val,neutral,neutral
p2_0314,distressed,val,distressed,distressed
p2_0315,frustrated,val,frustrated,frustrated
p2_0316,neutral,train,neutral,neutral
p2_0317,distressed,train,neutral,neutral
p2_0318,frustrated,train,frustrated,frustrated
p2_0319,neutral,train,neutral,neutral
p2_0320,distressed,train,frustrated,frustrated
p2_0321,frustrated,train,neutral,neutral
p2_0322,neutral,train,neutral,neutral
p2_0323,distressed,train,frustrated,frustrated
p2_0324,frustrated,train,frustrated,frustrated
p2_0325,neutral,train,neutral,neutral
p2_0326,distressed,train,distressed,distressed
p2_0327,frustrated,train,frustrated,frustrated
p2_0328,neutral,val,neutral,neutral
p2_0329,distressed,val,distressed,distressed
p2_0330,frustrated,val,frustrated,frustrated
p2_0331,neutral,val,neutral,neutral
p2_0332,distressed,val,distressed,distressed
p2_0333,frustrated,val,frustrated,frustrated
p2_0334,neutral,train,neutral,neutral
p2_0335,distressed,train,distressed,distressed
p2_0336,frustrated,train,frustrated,frustrated
p2_0337,neutral,train,neutral,neutral
p2_0338,distressed,train,distressed,distressed
p2_0339,frustrated,train,frustrated,frustrated
p2_0340,neutral,train,neutral,neutral
p2_0341,distressed,train,distressed,distressed
p2_0342,frustrated,train,frustrated,frustrated
p2_0343,neutral,val,neutral,neutral
p2_0344,distressed,val,distressed,distressed
p2_0345,frustrated,val,frustrated,frustrated
p2_0346,neutral,val,neutral,neutral
p2_0347,distressed,val,distressed,distressed
p2_0348,frustrated,val,frustrated,frustrated
p2_0349,neutral,train,neutral,neutral
p2_0350,distressed,train,distressed,distressed
p2_0351,frustrated,train,frustrated,frustrated
p2_0352,neutral,train,neutral,neutral
p2_0353,distressed,train,distressed,distressed
p2_0354,frustrated,train,frustrated,frustrated
p2_0355,neutral,train,neutral,neutral
p2_0356,distressed,train,neutral,neutral
p2_0357,frustrated,train,frustrated,frustrated
p2_0358,neutral,train,neutral,neutral
p2_0359,distressed,train,distressed,distressed
p2_0360,frustrated,train,frustrated,frustrated
p2_0361,neutral,train,neutral,neutral
p2_0362,distressed,train,distressed,distressed
p2_0363,frustrated,train,neutral,neutral
p2_0364,neutral,train,neutral,neutral
p2_0365,distressed,train,neutral,neutral
p2_0366,frustrated,train,frustrated,frustrated
p2_0367,neutral,train,neutral,neutral
p2_0368,distressed,train,distressed,distressed
p2_0369,frustrated,train,frustrated,frustrated
p2_0370,neutral,train,neutral,neutral
p2_0371,distressed,train,distressed,distressed
p2_0372,frustrated,train,frustrated,frustrated
p2_0373,neutral,train,neutral,neutral
p2_0374,distressed,train,neutral,neutral
p2_0375,frustrated,train,frustrated,frustrated
p2_0376,neutral,val,neutral,neutral
p2_0377,distressed,val,distressed,distressed
p2_0378,frustrated,val,frustrated,frustrated
p2_0379,neutral,train,neutral,neutral
p2_0380,distressed,train,neutral,neutral
p2_0381,frustrated,train,frustrated,frustrated
p2_0382,neutral,train,neutral,neutral
p2_0383,distressed,train,distressed,distressed
p2_0384,frustrated,train,frustrated,frustrated
p2_0385,neutral,train,neutral,neutral
p2_0386,distressed,train,distressed,distressed
p2_0387,frustrated,train,frustrated,frustrated
p2_0388,neutral,train,neutral,neutral
p2_0389,distressed,train,distressed,distressed
p2_0390,frustrated,train,frustrated,frustrated
p2_0391,neutral,train,neutral,neutral
p2_0392,distressed,train,distressed,distressed
p2_0393,frustrated,train,frustrated,frustrated
p2_0394,neutral,train,neutral,neutral
p2_0395,distressed,train,distressed,distressed
p2_0396,frustrated,train,frustrated,frustrated
p2_0397,neutral,train,neutral,neutral
p2_0398,distressed,train,distressed,distressed
p2_0399,frustrated,train,frustrated,frustrated
p2_0400,neutral,train,neutral,neutral
p2_0401,distressed,train,distressed,distressed
p2_0402,frustrated,train,frustrated,frustrated
p2_0403,neutral,train,neutral,neutral
p2_0404,distressed,train,distressed,distressed
p2_0405,frustrated,train,frustrated,frustrated
p2_0406,neutral,val,neutral,neutral
p2_0407,distressed,val,distressed,distressed
p2_0408,frustrated,val,frustrated,frustrated
p2_0409,neutral,train,neutral,neutral
p2_0410,distressed,train,distressed,distressed
p2_0411,frustrated,train,frustrated,frustrated
p2_0412,neutral,train,neutral,neutral
p2_0413,distressed,train,neutral,neutral
p2_0414,frustrated,train,frustrated,frustrated
p2_0415,neutral,val,neutral,neutral
p2_0416,distressed,val,distressed,distressed
p2_0417,frustrated,val,frustrated,frustrated
p2_0418,neutral,train,neutral,neutral
p2_0419,distressed,train,neutral,neutral
p2_0420,frustrated,train,neutral,neutral
p2_0421,neutral,train,neutral,neutral
p2_0422,distressed,train,neutral,neutral
p2_0423,frustrated,train,frustrated,frustrated
p2_0424,neutral,train,neutral,neutral
p2_0425,distressed,train,distressed,distressed
p2_0426,frustrated,train,frustrated,frustrated
p2_0427,neutral,val,neutral,neutral
p2_0428,distressed,val,neutral,neutral
p2_0429,frustrated,val,frustrated,frustrated
p2_0430,neutral,train,neutral,neutral
p2_0431,distressed,train,neutral,neutral
p2_0432,frustrated,train,frustrated,frustrated
p2_0433,neutral,train,neutral,neutral
p2_0434,distressed,train,distressed,distressed
p2_0435,frustrated,train,frustrated,frustrated
p2_0436,neutral,train,neutral,neutral
p2_0437,distressed,train,distressed,distressed
p2_0438,frustrated,train,frustrated,frustrated
p2_0439,neutral,val,neutral,neutral
p2_0440,distressed,val,distressed,distressed
p2_0441,frustrated,val,frustrated,frustrated
p2_0442,neutral,train,neutral,neutral
p2_0443,distressed,train,distressed,distressed
p2_0444,frustrated,train,frustrated,frustrated
p2_0445,neutral,train,neutral,neutral
p2_0446,distressed,train,other,C
p2_0447,frustrated,train,other,C
p2_0448,neutral,train,neutral,neutral
p2_0449,distressed,train,distressed,distressed
p2_0450,frustrated,train,frustrated,frustrated
p2_0451,neutral,implied,neutral,neutral
p2_0452,implied,implied,neutral,neutral
p2_0453,neutral,implied,neutral,neutral
p2_0454,implied,implied,frustrated,frustrated
p2_0455,neutral,implied,neutral,neutral
p2_0456,implied,implied,frustrated,frustrated
p2_0457,neutral,implied,neutral,neutral
p2_0458,implied,implied,distressed,distressed
p2_0459,neutral,implied,neutral,neutral
p2_0460,implied,implied,neutral,neutral
p2_0461,neutral,implied,neutral,neutral
p2_0462,implied,implied,neutral,neutral
p2_0463,neutral,implied,neutral,neutral
p2_0464,implied,implied,neutral,neutral
p2_0465,neutral,implied,neutral,neutral
p2_0466,implied,implied,frustrated,frustrated
p2_0467,neutral,implied,neutral,neutral
p2_0468,implied,implied,frustrated,frustrated
p2_0469,neutral,implied,neutral,neutral
p2_0470,implied,implied,neutral,neutral
p2_0471,neutral,implied,neutral,neutral
p2_0472,implied,implied,frustrated,frustrated
p2_0473,neutral,implied,neutral,neutral
p2_0474,implied,implied,frustrated,frustrated
p2_0475,neutral,implied,neutral,neutral
p2_0476,implied,implied,neutral,neutral
p2_0477,neutral,implied,neutral,neutral
p2_0478,implied,implied,neutral,neutral
p2_0479,neutral,implied,neutral,neutral
p2_0480,implied,implied,neutral,neutral
p2_0481,neutral,implied,neutral,neutral
p2_0482,implied,implied,neutral,neutral
p2_0483,neutral,implied,neutral,neutral
p2_0484,implied,implied,distressed,distressed
p2_0485,neutral,implied,neutral,neutral
p2_0486,implied,implied,neutral,neutral
p2_0487,neutral,implied,neutral,neutral
p2_0488,implied,implied,neutral,neutral
p2_0489,neutral,implied,neutral,neutral
p2_0490,implied,implied,frustrated,frustrated
p2_0491,neutral,implied,neutral,neutral
p2_0492,implied,implied,neutral,neutral
p2_0493,neutral,implied,neutral,neutral
p2_0494,implied,implied,neutral,neutral
p2_0495,neutral,implied,neutral,neutral
p2_0496,implied,implied,neutral,neutral
p2_0497,neutral,implied,neutral,neutral
p2_0498,implied,implied,neutral,neutral
p2_0499,neutral,implied,neutral,neutral
p2_0500,implied,implied,frustrated,frustrated
p2_0501,neutral,implied,neutral,neutral
p2_0502,implied,implied,neutral,neutral
p2_0503,neutral,implied,neutral,neutral
p2_0504,implied,implied,frustrated,frustrated
p2_0505,neutral,implied,neutral,neutral
p2_0506,implied,implied,frustrated,frustrated
p2_0507,neutral,implied,neutral,neutral
p2_0508,implied,implied,neutral,neutral
p2_0509,neutral,implied,neutral,neutral
p2_0510,implied,implied,neutral,neutral
p2_0511,neutral,implied,neutral,neutral
p2_0512,implied,implied,distressed,distressed
p2_0513,neutral,implied,neutral,neutral
p2_0514,implied,implied,neutral,neutral
p2_0515,neutral,implied,neutral,neutral
p2_0516,implied,implied,neutral,neutral
p2_0517,neutral,implied,neutral,neutral
p2_0518,implied,implied,distressed,distressed
p2_0519,neutral,implied,neutral,neutral
p2_0520,implied,implied,frustrated,frustrated
p2_0521,neutral,implied,neutral,neutral
p2_0522,implied,implied,neutral,neutral
p2_0523,neutral,implied,neutral,neutral
p2_0524,implied,implied,distressed,distressed
p2_0525,neutral,implied,neutral,neutral
p2_0526,implied,implied,distressed,distressed
p2_0527,neutral,implied,neutral,neutral
p2_0528,implied,implied,neutral,neutral
p2_0529,neutral,implied,neutral,neutral
p2_0530,implied,implied,frustrated,frustrated
p2_0531,third_party,third_party,neutral,neutral
p2_0532,third_party,third_party,neutral,neutral
p2_0533,third_party,third_party,neutral,neutral
p2_0534,third_party,third_party,neutral,neutral
p2_0535,third_party,third_party,distressed,distressed
p2_0536,third_party,third_party,neutral,neutral
p2_0537,third_party,third_party,neutral,neutral
p2_0538,third_party,third_party,neutral,neutral
p2_0539,third_party,third_party,neutral,neutral
p2_0540,third_party,third_party,neutral,neutral
p2_0541,third_party,third_party,neutral,neutral
p2_0542,third_party,third_party,neutral,neutral
p2_0543,third_party,third_party,neutral,neutral
p2_0544,third_party,third_party,neutral,neutral
p2_0545,third_party,third_party,neutral,neutral
p2_0546,third_party,third_party,neutral,neutral
p2_0547,third_party,third_party,neutral,neutral
p2_0548,third_party,third_party,neutral,neutral
p2_0549,third_party,third_party,neutral,neutral
p2_0550,third_party,third_party,neutral,neutral
p2_0551,third_party,third_party,neutral,neutral
p2_0552,third_party,third_party,neutral,neutral
p2_0553,third_party,third_party,neutral,neutral
p2_0554,third_party,third_party,neutral,neutral
p2_0555,third_party,third_party,neutral,neutral
p2_0556,third_party,third_party,neutral,neutral
p2_0557,third_party,third_party,neutral,neutral
p2_0558,third_party,third_party,neutral,neutral
p2_0559,third_party,third_party,neutral,neutral
p2_0560,third_party,third_party,neutral,neutral
p2_0561,third_party,third_party,neutral,neutral
p2_0562,third_party,third_party,neutral,neutral
p2_0563,third_party,third_party,neutral,neutral
p2_0564,third_party,third_party,neutral,neutral
p2_0565,third_party,third_party,neutral,neutral
p2_0566,third_party,third_party,neutral,neutral
p2_0567,third_party,third_party,neutral,neutral
p2_0568,third_party,third_party,neutral,neutral
p2_0569,third_party,third_party,neutral,neutral
p2_0570,third_party,third_party,neutral,neutral
