group,run,id,metric,v1,v2,hand,agree_v1,agree_v2
random_0.04,J,p2_0187,correct,1,1,1,1,1
random_0.04,J,p2_0187,abandoned,0,0,0,1,1
random_0.04,J,p2_0187,ack,0,0,0,1,1
random_0.04,J,p2_0187,infer,0,0,0,1,1
random_0.04,J,p2_0187,incoh,0,0,0,1,1
random_0.04,J,p2_0283,correct,1,1,1,1,1
random_0.04,J,p2_0283,abandoned,0,0,0,1,1
random_0.04,J,p2_0283,ack,0,0,0,1,1
random_0.04,J,p2_0283,infer,0,0,0,1,1
random_0.04,J,p2_0283,incoh,0,0,0,1,1
random_0.04,J,p2_0289,correct,1,1,1,1,1
random_0.04,J,p2_0289,abandoned,0,0,0,1,1
random_0.04,J,p2_0289,ack,0,0,0,1,1
random_0.04,J,p2_0289,infer,0,0,0,1,1
random_0.04,J,p2_0289,incoh,0,0,0,1,1
random_0.04,J,p2_0316,abandoned,0,0,0,1,1
random_0.04,J,p2_0316,ack,0,0,0,1,1
random_0.04,J,p2_0316,infer,0,0,0,1,1
random_0.04,J,p2_0316,incoh,0,0,0,1,1
random_0.04,J,p2_0337,abandoned,0,0,0,1,1
random_0.04,J,p2_0337,ack,1,0,0,0,1
random_0.04,J,p2_0337,infer,0,0,0,1,1
random_0.04,J,p2_0337,incoh,0,0,0,1,1
random_0.04,J,p2_0415,correct,1,1,1,1,1
random_0.04,J,p2_0415,abandoned,0,0,0,1,1
random_0.04,J,p2_0415,ack,0,0,0,1,1
random_0.04,J,p2_0415,infer,0,0,0,1,1
random_0.04,J,p2_0415,incoh,0,0,0,1,1
random_0.04,J,p2_0439,correct,0,1,1,0,1
random_0.04,J,p2_0439,abandoned,0,0,0,1,1
random_0.04,J,p2_0439,ack,0,0,0,1,1
random_0.04,J,p2_0439,infer,0,0,0,1,1
random_0.04,J,p2_0439,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0040,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0040,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0040,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0040,infer,0,1,1,0,1
distressed_0.06_abandoned,A,p2_0040,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0049,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0049,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0049,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0049,infer,0,1,1,0,1
distressed_0.06_abandoned,A,p2_0049,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0064,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0064,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0064,ack,0,0,1,0,0
distressed_0.06_abandoned,A,p2_0064,infer,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0064,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0313,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0313,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0313,infer,0,1,1,0,1
distressed_0.06_abandoned,A,p2_0313,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0346,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0346,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0346,infer,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0346,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0639,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0639,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0639,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0639,infer,0,1,1,0,1
distressed_0.06_abandoned,A,p2_0639,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0644,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0644,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0644,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0644,infer,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0644,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0675,correct,0,1,0,1,0
distressed_0.06_abandoned,A,p2_0675,abandoned,1,0,1,1,0
distressed_0.06_abandoned,A,p2_0675,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0675,infer,0,1,1,0,1
distressed_0.06_abandoned,A,p2_0675,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0758,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0758,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0758,ack,1,0,1,1,0
distressed_0.06_abandoned,A,p2_0758,infer,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0758,incoh,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0765,correct,0,0,0,1,1
distressed_0.06_abandoned,A,p2_0765,abandoned,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0765,ack,1,1,1,1,1
distressed_0.06_abandoned,A,p2_0765,infer,0,1,1,0,1
distressed_0.06_abandoned,A,p2_0765,incoh,0,0,0,1,1
inference_flagged,A,p2_0331,abandoned,0,0,1,0,0
inference_flagged,A,p2_0331,ack,0,0,0,1,1
inference_flagged,A,p2_0331,infer,1,0,1,1,0
inference_flagged,A,p2_0331,incoh,0,1,1,0,1
inference_flagged,A,p2_0346,abandoned,0,0,1,0,0
inference_flagged,A,p2_0346,ack,1,1,1,1,1
inference_flagged,A,p2_0346,infer,1,1,1,1,1
inference_flagged,A,p2_0346,incoh,0,0,0,1,1
inference_flagged,A,p2_0415,correct,0,0,0,1,1
inference_flagged,A,p2_0415,abandoned,0,0,1,0,0
inference_flagged,A,p2_0415,ack,1,1,1,1,1
inference_flagged,A,p2_0415,infer,1,1,1,1,1
inference_flagged,A,p2_0415,incoh,0,0,0,1,1
inference_flagged,A,p2_0732,abandoned,0,0,1,0,0
inference_flagged,A,p2_0732,ack,0,0,0,1,1
inference_flagged,A,p2_0732,infer,1,1,1,1,1
inference_flagged,A,p2_0732,incoh,0,0,0,1,1
inference_flagged,A,p2_0733,abandoned,1,1,1,1,1
inference_flagged,A,p2_0733,ack,1,1,1,1,1
inference_flagged,A,p2_0733,infer,1,1,1,1,1
inference_flagged,A,p2_0733,incoh,0,0,0,1,1
inference_flagged,K,p2_0007,correct,0,0,0,1,1
inference_flagged,K,p2_0007,abandoned,1,1,1,1,1
inference_flagged,K,p2_0007,ack,1,1,1,1,1
inference_flagged,K,p2_0007,infer,1,1,1,1,1
inference_flagged,K,p2_0007,incoh,0,0,0,1,1
inference_flagged,K,p2_0196,correct,1,1,1,1,1
inference_flagged,K,p2_0196,abandoned,0,0,0,1,1
inference_flagged,K,p2_0196,ack,1,0,0,0,1
inference_flagged,K,p2_0196,infer,1,0,0,0,1
inference_flagged,K,p2_0196,incoh,0,0,0,1,1
inference_flagged,M,p2_0008,correct,1,1,1,1,1
inference_flagged,M,p2_0008,abandoned,0,0,0,1,1
inference_flagged,M,p2_0008,ack,1,0,1,1,0
inference_flagged,M,p2_0008,infer,1,0,1,1,0
inference_flagged,M,p2_0008,incoh,0,0,0,1,1
inference_flagged,N,p2_0720,correct,1,1,1,1,1
inference_flagged,N,p2_0720,abandoned,0,0,0,1,1
inference_flagged,N,p2_0720,ack,1,1,1,1,1
inference_flagged,N,p2_0720,infer,1,1,1,1,1
inference_flagged,N,p2_0720,incoh,0,0,0,1,1
inference_flagged,N,p2_0738,abandoned,1,1,1,1,1
inference_flagged,N,p2_0738,ack,1,1,1,1,1
inference_flagged,N,p2_0738,infer,1,1,1,1,1
inference_flagged,N,p2_0738,incoh,0,0,0,1,1
