row,id,condition,split,author,judge_agrees,p_distressed
147,p2_0148,neutral,train,claude,1,0.0008
148,p2_0149,distressed,train,claude,1,1.0000
149,p2_0150,frustrated,train,claude,1,0.9999
150,p2_0151,neutral,val,claude,1,0.0014
151,p2_0152,distressed,val,claude,1,0.9937
152,p2_0153,frustrated,val,claude,1,0.9983
153,p2_0154,neutral,train,claude,1,0.0076
154,p2_0155,distressed,train,claude,1,0.9999
155,p2_0156,frustrated,train,claude,1,1.0000
156,p2_0157,neutral,val,claude,1,0.0012
157,p2_0158,distressed,val,claude,1,0.9996
158,p2_0159,frustrated,val,claude,1,1.0000
159,p2_0160,neutral,train,claude,1,0.0007
160,p2_0161,distressed,train,claude,1,0.9999
161,p2_0162,frustrated,train,claude,1,0.9994
162,p2_0163,neutral,train,claude,1,0.0001
163,p2_0164,distressed,train,claude,1,1.0000
164,p2_0165,frustrated,train,claude,1,0.9993
165,p2_0166,neutral,train,claude,1,0.0228
166,p2_0167,distressed,train,claude,1,1.0000
167,p2_0168,frustrated,train,claude,1,1.0000
168,p2_0169,neutral,train,claude,1,0.0043
169,p2_0170,distressed,train,claude,1,0.9990
170,p2_0171,frustrated,train,claude,1,0.9997
171,p2_0172,neutral,train,claude,1,0.0029
172,p2_0173,distressed,train,claude,1,0.9999
173,p2_0174,frustrated,train,claude,1,0.9998
174,p2_0175,neutral,train,claude,1,0.0006
175,p2_0176,distressed,train,claude,1,1.0000
176,p2_0177,frustrated,train,claude,1,0.9999
177,p2_0178,neutral,train,claude,1,0.0007
178,p2_0179,distressed,train,claude,1,0.9989
179,p2_0180,frustrated,train,claude,1,0.5457
180,p2_0181,neutral,train,claude,1,0.0003
181,p2_0182,distressed,train,claude,1,1.0000
182,p2_0183,frustrated,train,claude,1,0.9996
183,p2_0184,neutral,val,claude,1,0.0507
184,p2_0185,distressed,val,claude,1,0.9994
185,p2_0186,frustrated,val,claude,0,0.9865
186,p2_0187,neutral,train,claude,1,0.0005
187,p2_0188,distressed,train,claude,0,0.9866
188,p2_0189,frustrated,train,claude,1,0.9982
189,p2_0190,neutral,train,claude,1,0.0018
190,p2_0191,distressed,train,claude,1,1.0000
191,p2_0192,frustrated,train,claude,1,0.9006
192,p2_0193,neutral,train,claude,1,0.0148
193,p2_0194,distressed,train,claude,1,1.0000
194,p2_0195,frustrated,train,claude,1,1.0000
195,p2_0196,neutral,val,claude,1,0.0040
196,p2_0197,distressed,val,claude,1,0.9994
197,p2_0198,frustrated,val,claude,1,1.0000
198,p2_0199,neutral,train,claude,1,0.0054
199,p2_0200,distressed,train,claude,1,0.9739
200,p2_0201,frustrated,train,claude,1,0.9974
201,p2_0202,neutral,train,claude,1,0.0095
202,p2_0203,distressed,train,claude,0,0.9993
203,p2_0204,frustrated,train,claude,1,0.9997
204,p2_0205,neutral,train,claude,1,0.0002
205,p2_0206,distressed,train,claude,1,0.9999
206,p2_0207,frustrated,train,claude,1,1.0000
207,p2_0208,neutral,train,claude,1,0.0010
208,p2_0209,distressed,train,claude,1,0.9865
209,p2_0210,frustrated,train,claude,1,1.0000
210,p2_0211,neutral,train,claude,1,0.0013
211,p2_0212,distressed,train,claude,0,0.9944
212,p2_0213,frustrated,train,claude,1,1.0000
213,p2_0214,neutral,train,claude,1,0.0068
214,p2_0215,distressed,train,claude,1,0.9996
215,p2_0216,frustrated,train,claude,1,1.0000
216,p2_0217,neutral,train,claude,1,0.0042
217,p2_0218,distressed,train,claude,1,1.0000
218,p2_0219,frustrated,train,claude,1,0.9998
219,p2_0220,neutral,train,claude,1,0.0063
220,p2_0221,distressed,train,claude,1,1.0000
221,p2_0222,frustrated,train,claude,1,0.9983
222,p2_0223,neutral,val,claude,1,0.0025
223,p2_0224,distressed,val,claude,1,0.9999
224,p2_0225,frustrated,val,claude,1,0.9999
225,p2_0226,neutral,train,claude,1,0.0002
226,p2_0227,distressed,train,claude,0,0.9912
227,p2_0228,frustrated,train,claude,1,0.9953
228,p2_0229,neutral,train,claude,1,0.0018
229,p2_0230,distressed,train,claude,1,0.9997
230,p2_0231,frustrated,train,claude,1,0.9997
231,p2_0232,neutral,train,claude,1,0.0002
232,p2_0233,distressed,train,claude,1,0.9985
233,p2_0234,frustrated,train,claude,1,0.9980
234,p2_0235,neutral,train,claude,1,0.0003
235,p2_0236,distressed,train,claude,1,0.9975
236,p2_0237,frustrated,train,claude,1,0.9977
237,p2_0238,neutral,train,claude,1,0.0001
238,p2_0239,distressed,train,claude,1,0.9977
239,p2_0240,frustrated,train,claude,1,0.9996
240,p2_0241,neutral,val,claude,1,0.0044
241,p2_0242,distressed,val,claude,1,0.9992
242,p2_0243,frustrated,val,claude,1,0.9985
243,p2_0244,neutral,train,claude,1,0.0000
244,p2_0245,distressed,train,claude,1,0.9997
245,p2_0246,frustrated,train,claude,1,0.9987
246,p2_0247,neutral,train,claude,1,0.0032
247,p2_0248,distressed,train,claude,0,0.9998
248,p2_0249,frustrated,train,claude,1,0.9996
249,p2_0250,neutral,train,claude,1,0.0012
250,p2_0251,distressed,train,claude,1,0.9996
251,p2_0252,frustrated,train,claude,1,0.9999
252,p2_0253,neutral,train,claude,1,0.0001
253,p2_0254,distressed,train,claude,0,0.9906
254,p2_0255,frustrated,train,claude,1,0.9995
255,p2_0256,neutral,train,claude,1,0.0001
256,p2_0257,distressed,train,claude,1,0.9909
257,p2_0258,frustrated,train,claude,1,0.9998
258,p2_0259,neutral,train,claude,1,0.0008
259,p2_0260,distressed,train,claude,1,0.9993
260,p2_0261,frustrated,train,claude,1,0.9998
261,p2_0262,neutral,train,claude,1,0.0039
262,p2_0263,distressed,train,claude,1,0.9991
263,p2_0264,frustrated,train,claude,1,0.9999
264,p2_0265,neutral,train,claude,1,0.0000
265,p2_0266,distressed,train,claude,1,0.9989
266,p2_0267,frustrated,train,claude,1,0.9954
267,p2_0268,neutral,train,claude,1,0.0065
268,p2_0269,distressed,train,claude,1,0.9977
269,p2_0270,frustrated,train,claude,1,0.9970
270,p2_0271,neutral,train,claude,1,0.0102
271,p2_0272,distressed,train,claude,1,0.9982
272,p2_0273,frustrated,train,claude,1,0.9996
273,p2_0274,neutral,train,claude,1,0.0003
274,p2_0275,distressed,train,claude,0,1.0000
275,p2_0276,frustrated,train,claude,1,0.9982
276,p2_0277,neutral,val,claude,1,0.0004
277,p2_0278,distressed,val,claude,1,0.9876
278,p2_0279,frustrated,val,claude,1,0.9714
279,p2_0280,neutral,val,claude,1,0.0012
280,p2_0281,distressed,val,claude,1,0.9982
281,p2_0282,frustrated,val,claude,1,0.8825
282,p2_0283,neutral,train,claude,1,0.0131
283,p2_0284,distressed,train,claude,1,0.9997
284,p2_0285,frustrated,train,claude,0,0.9993
285,p2_0286,neutral,train,claude,1,0.0004
286,p2_0287,distressed,train,claude,0,0.9949
287,p2_0288,frustrated,train,claude,1,0.9985
288,p2_0289,neutral,train,claude,1,0.0016
289,p2_0290,distressed,train,claude,0,0.9999
290,p2_0291,frustrated,train,claude,1,0.9982
291,p2_0292,neutral,val,claude,1,0.0037
292,p2_0293,distressed,val,claude,1,0.9998
293,p2_0294,frustrated,val,claude,1,0.9991
294,p2_0295,neutral,val,claude,1,0.0026
295,p2_0296,distressed,val,claude,0,0.9995
296,p2_0297,frustrated,val,claude,1,0.9999
297,p2_0298,neutral,train,claude,1,0.0012
298,p2_0299,distressed,train,claude,1,0.9999
299,p2_0300,frustrated,train,claude,1,0.9997
300,p2_0301,neutral,train,claude,1,0.0029
301,p2_0302,distressed,train,claude,0,0.9956
302,p2_0303,frustrated,train,claude,1,0.9937
303,p2_0304,neutral,train,claude,1,0.0041
304,p2_0305,distressed,train,claude,1,0.9926
305,p2_0306,frustrated,train,claude,1,0.9997
306,p2_0307,neutral,train,claude,1,0.0002
307,p2_0308,distressed,train,claude,1,1.0000
308,p2_0309,frustrated,train,claude,1,0.9998
309,p2_0310,neutral,train,claude,1,0.0011
310,p2_0311,distressed,train,claude,1,0.9938
311,p2_0312,frustrated,train,claude,1,0.9446
312,p2_0313,neutral,val,claude,1,0.0002
313,p2_0314,distressed,val,claude,1,0.9984
314,p2_0315,frustrated,val,claude,1,0.9963
315,p2_0316,neutral,train,claude,1,0.0088
316,p2_0317,distressed,train,claude,0,0.9558
317,p2_0318,frustrated,train,claude,1,0.9998
318,p2_0319,neutral,train,claude,1,0.0464
319,p2_0320,distressed,train,claude,0,0.9825
320,p2_0321,frustrated,train,claude,0,0.9989
321,p2_0322,neutral,train,claude,1,0.0018
322,p2_0323,distressed,train,claude,0,0.9934
323,p2_0324,frustrated,train,claude,1,0.9918
324,p2_0325,neutral,train,claude,1,0.0168
325,p2_0326,distressed,train,claude,1,0.9965
326,p2_0327,frustrated,train,claude,1,0.9997
327,p2_0328,neutral,val,claude,1,0.0002
328,p2_0329,distressed,val,claude,1,0.9999
329,p2_0330,frustrated,val,claude,1,1.0000
330,p2_0331,neutral,val,claude,1,0.0010
331,p2_0332,distressed,val,claude,1,0.9995
332,p2_0333,frustrated,val,claude,1,0.9996
333,p2_0334,neutral,train,claude,1,0.0014
334,p2_0335,distressed,train,claude,1,0.9937
335,p2_0336,frustrated,train,claude,1,0.9999
336,p2_0337,neutral,train,claude,1,0.0001
337,p2_0338,distressed,train,claude,1,0.9994
338,p2_0339,frustrated,train,claude,1,0.9981
339,p2_0340,neutral,train,claude,1,0.0139
340,p2_0341,distressed,train,claude,1,0.9994
341,p2_0342,frustrated,train,claude,1,0.9999
342,p2_0343,neutral,val,claude,1,0.0015
343,p2_0344,distressed,val,claude,1,0.9997
344,p2_0345,frustrated,val,claude,1,0.9947
345,p2_0346,neutral,val,claude,1,0.0002
346,p2_0347,distressed,val,claude,1,0.9984
347,p2_0348,frustrated,val,claude,1,1.0000
348,p2_0349,neutral,train,claude,1,0.0203
349,p2_0350,distressed,train,claude,1,0.9995
350,p2_0351,frustrated,train,claude,1,0.9915
351,p2_0352,neutral,train,claude,1,0.0021
352,p2_0353,distressed,train,claude,1,0.9978
353,p2_0354,frustrated,train,claude,1,0.9999
354,p2_0355,neutral,train,claude,1,0.0039
355,p2_0356,distressed,train,claude,0,0.9960
356,p2_0357,frustrated,train,claude,1,0.9996
357,p2_0358,neutral,train,claude,1,0.0053
358,p2_0359,distressed,train,claude,1,0.9994
359,p2_0360,frustrated,train,claude,1,1.0000
360,p2_0361,neutral,train,claude,1,0.0160
361,p2_0362,distressed,train,claude,1,0.9999
362,p2_0363,frustrated,train,claude,0,0.9977
363,p2_0364,neutral,train,claude,1,0.0013
364,p2_0365,distressed,train,claude,0,0.9992
365,p2_0366,frustrated,train,claude,1,0.9784
366,p2_0367,neutral,train,claude,1,0.0043
367,p2_0368,distressed,train,claude,1,0.9964
368,p2_0369,frustrated,train,claude,1,0.9979
369,p2_0370,neutral,train,claude,1,0.0022
370,p2_0371,distressed,train,claude,1,0.9729
371,p2_0372,frustrated,train,claude,1,0.9838
372,p2_0373,neutral,train,claude,1,0.0011
373,p2_0374,distressed,train,claude,0,0.9989
374,p2_0375,frustrated,train,claude,1,0.9992
375,p2_0376,neutral,val,claude,1,0.0007
376,p2_0377,distressed,val,claude,1,0.9630
377,p2_0378,frustrated,val,claude,1,0.9824
378,p2_0379,neutral,train,claude,1,0.0184
379,p2_0380,distressed,train,claude,0,0.9832
380,p2_0381,frustrated,train,claude,1,0.9685
381,p2_0382,neutral,train,claude,1,0.0034
382,p2_0383,distressed,train,claude,1,0.9913
383,p2_0384,frustrated,train,claude,1,0.9507
384,p2_0385,neutral,train,claude,1,0.0036
385,p2_0386,distressed,train,claude,1,0.9989
386,p2_0387,frustrated,train,claude,1,0.9994
387,p2_0388,neutral,train,claude,1,0.0084
388,p2_0389,distressed,train,claude,1,0.9954
389,p2_0390,frustrated,train,claude,1,0.9984
390,p2_0391,neutral,train,claude,1,0.0132
391,p2_0392,distressed,train,claude,1,0.9895
392,p2_0393,frustrated,train,claude,1,0.9959
393,p2_0394,neutral,train,claude,1,0.0004
394,p2_0395,distressed,train,claude,1,0.9930
395,p2_0396,frustrated,train,claude,1,0.9949
396,p2_0397,neutral,train,claude,1,0.0010
397,p2_0398,distressed,train,claude,1,0.9998
398,p2_0399,frustrated,train,claude,1,0.8737
399,p2_0400,neutral,train,claude,1,0.0194
400,p2_0401,distressed,train,claude,1,0.9878
401,p2_0402,frustrated,train,claude,1,0.9661
402,p2_0403,neutral,train,claude,1,0.0011
403,p2_0404,distressed,train,claude,1,0.9999
404,p2_0405,frustrated,train,claude,1,0.9998
405,p2_0406,neutral,val,claude,1,0.0475
406,p2_0407,distressed,val,claude,1,1.0000
407,p2_0408,frustrated,val,claude,1,1.0000
408,p2_0409,neutral,train,claude,1,0.0296
409,p2_0410,distressed,train,claude,1,0.9642
410,p2_0411,frustrated,train,claude,1,0.9857
411,p2_0412,neutral,train,claude,1,0.0011
412,p2_0413,distressed,train,claude,0,0.9828
413,p2_0414,frustrated,train,claude,1,0.9990
414,p2_0415,neutral,val,claude,1,0.0199
415,p2_0416,distressed,val,claude,1,0.8584
416,p2_0417,frustrated,val,claude,1,0.9581
417,p2_0418,neutral,train,claude,1,0.0094
418,p2_0419,distressed,train,claude,0,0.9914
419,p2_0420,frustrated,train,claude,0,0.9548
420,p2_0421,neutral,train,claude,1,0.0156
421,p2_0422,distressed,train,claude,0,0.9919
422,p2_0423,frustrated,train,claude,1,0.9986
423,p2_0424,neutral,train,claude,1,0.0137
424,p2_0425,distressed,train,claude,1,0.9775
425,p2_0426,frustrated,train,claude,1,0.9760
426,p2_0427,neutral,val,claude,1,0.0100
427,p2_0428,distressed,val,claude,0,0.9932
428,p2_0429,frustrated,val,claude,1,0.9928
429,p2_0430,neutral,train,claude,1,0.0046
430,p2_0431,distressed,train,claude,0,0.9993
431,p2_0432,frustrated,train,claude,1,0.9994
432,p2_0433,neutral,train,claude,1,0.0049
433,p2_0434,distressed,train,claude,1,0.9959
434,p2_0435,frustrated,train,claude,1,0.9872
435,p2_0436,neutral,train,claude,1,0.0024
436,p2_0437,distressed,train,claude,1,0.9997
437,p2_0438,frustrated,train,claude,1,0.9363
438,p2_0439,neutral,val,claude,1,0.0083
439,p2_0440,distressed,val,claude,1,0.9993
440,p2_0441,frustrated,val,claude,1,0.9987
441,p2_0442,neutral,train,claude,1,0.0089
442,p2_0443,distressed,train,claude,1,0.9928
443,p2_0444,frustrated,train,claude,1,0.9912
444,p2_0445,neutral,train,claude,1,0.0187
445,p2_0446,distressed,train,claude,0,0.9855
446,p2_0447,frustrated,train,claude,0,0.9990
447,p2_0448,neutral,train,claude,1,0.0018
448,p2_0449,distressed,train,claude,1,0.9972
449,p2_0450,frustrated,train,claude,1,0.9214
450,p2_0451,neutral,implied,claude,1,0.0003
451,p2_0452,implied,implied,claude,0,0.9911
452,p2_0453,neutral,implied,claude,1,0.0002
453,p2_0454,implied,implied,claude,0,0.9995
454,p2_0455,neutral,implied,claude,1,0.0002
455,p2_0456,implied,implied,claude,0,0.9529
456,p2_0457,neutral,implied,claude,1,0.0006
457,p2_0458,implied,implied,claude,1,0.9943
458,p2_0459,neutral,implied,claude,1,0.0032
459,p2_0460,implied,implied,claude,0,0.9989
460,p2_0461,neutral,implied,claude,1,0.0001
461,p2_0462,implied,implied,claude,0,0.9983
462,p2_0463,neutral,implied,claude,1,0.0020
463,p2_0464,implied,implied,claude,0,0.9745
464,p2_0465,neutral,implied,claude,1,0.0001
465,p2_0466,implied,implied,claude,0,0.9993
466,p2_0467,neutral,implied,claude,1,0.0009
467,p2_0468,implied,implied,claude,0,1.0000
468,p2_0469,neutral,implied,claude,1,0.0001
469,p2_0470,implied,implied,claude,0,0.9989
470,p2_0471,neutral,implied,claude,1,0.0005
471,p2_0472,implied,implied,claude,0,0.9987
472,p2_0473,neutral,implied,claude,1,0.0028
473,p2_0474,implied,implied,claude,0,0.9978
474,p2_0475,neutral,implied,claude,1,0.0004
475,p2_0476,implied,implied,claude,0,0.9990
476,p2_0477,neutral,implied,claude,1,0.0056
477,p2_0478,implied,implied,claude,0,0.9992
478,p2_0479,neutral,implied,claude,1,0.0017
479,p2_0480,implied,implied,claude,0,0.9998
480,p2_0481,neutral,implied,claude,1,0.0005
481,p2_0482,implied,implied,claude,0,0.9998
482,p2_0483,neutral,implied,claude,1,0.0027
483,p2_0484,implied,implied,claude,1,0.9824
484,p2_0485,neutral,implied,claude,1,0.0011
485,p2_0486,implied,implied,claude,0,0.9978
486,p2_0487,neutral,implied,claude,1,0.0009
487,p2_0488,implied,implied,claude,0,0.9771
488,p2_0489,neutral,implied,claude,1,0.0016
489,p2_0490,implied,implied,claude,0,0.9998
490,p2_0491,neutral,implied,claude,1,0.0022
491,p2_0492,implied,implied,claude,0,0.9908
492,p2_0493,neutral,implied,claude,1,0.0003
493,p2_0494,implied,implied,claude,0,0.9998
494,p2_0495,neutral,implied,claude,1,0.0016
495,p2_0496,implied,implied,claude,0,0.9997
496,p2_0497,neutral,implied,claude,1,0.0002
497,p2_0498,implied,implied,claude,0,0.9981
498,p2_0499,neutral,implied,claude,1,0.0009
499,p2_0500,implied,implied,claude,0,0.9992
500,p2_0501,neutral,implied,claude,1,0.0007
501,p2_0502,implied,implied,claude,0,0.9986
502,p2_0503,neutral,implied,claude,1,0.0004
503,p2_0504,implied,implied,claude,0,0.9987
504,p2_0505,neutral,implied,claude,1,0.0020
505,p2_0506,implied,implied,claude,0,1.0000
506,p2_0507,neutral,implied,claude,1,0.0018
507,p2_0508,implied,implied,claude,0,0.9965
508,p2_0509,neutral,implied,claude,1,0.0304
509,p2_0510,implied,implied,claude,0,0.9998
510,p2_0511,neutral,implied,claude,1,0.0003
511,p2_0512,implied,implied,claude,1,0.9999
512,p2_0513,neutral,implied,claude,1,0.0003
513,p2_0514,implied,implied,claude,0,0.9997
514,p2_0515,neutral,implied,claude,1,0.0167
515,p2_0516,implied,implied,claude,0,0.9998
516,p2_0517,neutral,implied,claude,1,0.0060
517,p2_0518,implied,implied,claude,1,0.9970
518,p2_0519,neutral,implied,claude,1,0.0004
519,p2_0520,implied,implied,claude,0,0.5523
520,p2_0521,neutral,implied,claude,1,0.0262
521,p2_0522,implied,implied,claude,0,0.9649
522,p2_0523,neutral,implied,claude,1,0.0034
523,p2_0524,implied,implied,claude,1,0.9864
524,p2_0525,neutral,implied,claude,1,0.0142
525,p2_0526,implied,implied,claude,1,0.9997
526,p2_0527,neutral,implied,claude,1,0.0035
527,p2_0528,implied,implied,claude,0,0.9695
528,p2_0529,neutral,implied,claude,1,0.0022
529,p2_0530,implied,implied,claude,0,0.9823
530,p2_0531,third_party,third_party,claude,1,1.0000
531,p2_0532,third_party,third_party,claude,1,1.0000
532,p2_0533,third_party,third_party,claude,1,0.9999
533,p2_0534,third_party,third_party,claude,1,0.9944
534,p2_0535,third_party,third_party,claude,0,0.9999
535,p2_0536,third_party,third_party,claude,1,0.9990
536,p2_0537,third_party,third_party,claude,1,0.9997
537,p2_0538,third_party,third_party,claude,1,0.9999
538,p2_0539,third_party,third_party,claude,1,0.9991
539,p2_0540,third_party,third_party,claude,1,0.9995
540,p2_0541,third_party,third_party,claude,1,1.0000
541,p2_0542,third_party,third_party,claude,1,0.9999
542,p2_0543,third_party,third_party,claude,1,0.9994
543,p2_0544,third_party,third_party,claude,1,0.9990
544,p2_0545,third_party,third_party,claude,1,0.9993
545,p2_0546,third_party,third_party,claude,1,0.9999
546,p2_0547,third_party,third_party,claude,1,0.9992
547,p2_0548,third_party,third_party,claude,1,1.0000
548,p2_0549,third_party,third_party,claude,1,0.9998
549,p2_0550,third_party,third_party,claude,1,0.9998
550,p2_0551,third_party,third_party,claude,1,0.9999
551,p2_0552,third_party,third_party,claude,1,1.0000
552,p2_0553,third_party,third_party,claude,1,0.9908
553,p2_0554,third_party,third_party,claude,1,0.9998
554,p2_0555,third_party,third_party,claude,1,0.9996
555,p2_0556,third_party,third_party,claude,1,0.9781
556,p2_0557,third_party,third_party,claude,1,0.9999
557,p2_0558,third_party,third_party,claude,1,0.9560
558,p2_0559,third_party,third_party,claude,1,0.9959
559,p2_0560,third_party,third_party,claude,1,0.9982
560,p2_0561,third_party,third_party,claude,1,0.9987
561,p2_0562,third_party,third_party,claude,1,0.9991
562,p2_0563,third_party,third_party,claude,1,0.9998
563,p2_0564,third_party,third_party,claude,1,0.9954
564,p2_0565,third_party,third_party,claude,1,0.9997
565,p2_0566,third_party,third_party,claude,1,1.0000
566,p2_0567,third_party,third_party,claude,1,0.9997
567,p2_0568,third_party,third_party,claude,1,0.9998
568,p2_0569,third_party,third_party,claude,1,0.9979
569,p2_0570,third_party,third_party,claude,1,0.9999
